,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_nu,gamma_u,timestep
279,4.159985509905224,1.4925399156637498,5.652525425568974,4.972848539209986,2.172216802022734,0 days 00:00:51.304058000,0.05,0.01,0.004,0.09,3.1
280,2.4066586917949033,0.0,2.4066586917949033,0.23444188977216907,2.172216802022734,0 days 00:00:50.708875000,0.01,0.01,0.005,0.02,3.1
281,2.6538730024791564,0.0,2.6538730024791564,0.48165620045642205,2.172216802022734,0 days 00:00:52.037571000,0.02,0.01,0.005,0.02,3.1
282,2.9547305032104694,0.0,2.9547305032104694,0.782513701187735,2.172216802022734,0 days 00:00:51.294810000,0.03,0.01,0.005,0.02,3.1
283,3.3093470920546277,0.0,3.3093470920546277,1.1371302900318934,2.172216802022734,0 days 00:00:50.614936000,0.04,0.01,0.005,0.02,3.1
284,3.7179220057974245,0.0,3.7179220057974245,1.5457052037746906,2.172216802022734,0 days 00:00:49.906516000,0.05,0.01,0.005,0.02,3.1
285,2.3741343266861867,0.0,2.3741343266861867,0.20191752466345267,2.172216802022734,0 days 00:00:50.787662000,0.01,0.01,0.005,0.03,3.1
286,2.651307301250259,0.0,2.651307301250259,0.47909049922752495,2.172216802022734,0 days 00:00:52.196176000,0.02,0.01,0.005,0.03,3.1
287,3.031552268763618,0.0,3.031552268763618,0.8593354667408839,2.172216802022734,0 days 00:00:51.443483000,0.03,0.01,0.005,0.03,3.1
288,3.516012855360671,0.0,3.516012855360671,1.3437960533379367,2.172216802022734,0 days 00:00:51.011723000,0.04,0.01,0.005,0.03,3.1
289,4.105442452343244,0.0002562532294895197,4.105698705572733,1.9337381567794871,2.172216802022734,0 days 00:00:51.083773000,0.05,0.01,0.005,0.03,3.1
290,2.365458902479193,0.0,2.365458902479193,0.19324210045645884,2.172216802022734,0 days 00:00:51.227504000,0.01,0.01,0.005,0.04,3.1
291,2.6922436253304056,0.0006367428156253365,2.692880368146031,0.5213003089389237,2.172216802022734,0 days 00:00:51.529756000,0.02,0.01,0.005,0.04,3.1
292,3.1439921677246816,0.01829633427929746,3.162288502003979,1.0083680342605426,2.172216802022734,0 days 00:00:50.517879000,0.03,0.01,0.005,0.04,3.1
293,3.6406148158470484,0.09466452345626208,3.7352793393033106,1.6577270607368408,2.172216802022734,0 days 00:00:51.456051000,0.04,0.01,0.005,0.04,3.1
