,cost,intersection,union,A_m,A_e,time,a,delta_u,delta_ny,gamma_u,timestep
175,1.8694117667442627,0.659415795670098,2.5288275624143606,1.0160265560617248,2.172216802022734,0 days 00:00:49.740230000,0.0225,0.011,0.005,0.08,3.1
176,2.51795501223621,0.020857351818731114,2.538812364054941,0.3874529138509383,2.172216802022734,0 days 00:00:49.889111000,0.015,0.011,0.006,0.05,3.1
177,2.5965196171365656,0.03628578764247578,2.6328054047790412,0.4968743903987837,2.172216802022734,0 days 00:00:49.903256000,0.0175,0.011,0.006,0.05,3.1
178,2.675965635472484,0.058208746486209356,2.7341743819586934,0.6201663264221676,2.172216802022734,0 days 00:00:49.670586000,0.02,0.011,0.006,0.05,3.1
179,2.7561764057896005,0.08678358483576516,2.8429599906253658,0.7575267734383967,2.172216802022734,0 days 00:00:59.745632000,0.0225,0.011,0.006,0.05,3.1
180,2.244206762698445,0.17864352479375306,2.422850287492198,0.4292770102632165,2.172216802022734,0 days 00:01:01.298022000,0.015,0.011,0.006,0.06,3.1
181,2.2558308438429697,0.23764877563310371,2.4934796194760733,0.5589115930864424,2.172216802022734,0 days 00:00:51.042714000,0.0175,0.011,0.006,0.06,3.1
182,2.262619365765932,0.3077999659612457,2.570419331727178,0.7060024956656902,2.172216802022734,0 days 00:00:49.358811000,0.02,0.011,0.006,0.06,3.1
183,2.2648910158062816,0.38904538286285895,2.6539363986691407,0.8707649795092652,2.172216802022734,0 days 00:00:50.310967000,0.0225,0.011,0.006,0.06,3.1
184,1.743298993378996,0.4636628911534569,2.206961884532453,0.4984079736631763,2.172216802022734,0 days 00:00:49.769266000,0.015,0.011,0.006,0.075,3.1
185,1.727182360485969,0.5509270698697297,2.278109430355699,0.6568196982026946,2.172216802022734,0 days 00:00:49.967724000,0.0175,0.011,0.006,0.075,3.1
186,1.7477709803052126,0.6308677705412853,2.378638750846498,0.8372897193650491,2.172216802022734,0 days 00:00:49.981917000,0.02,0.011,0.006,0.075,3.1
187,1.7958127746411547,0.708194934853499,2.504007709494654,1.0399858423254182,2.172216802022734,0 days 00:00:49.738506000,0.0225,0.011,0.006,0.075,3.1
188,1.8458746859557114,0.4236425596352775,2.269517245590989,0.5209430032035333,2.172216802022734,0 days 00:00:50.002706000,0.015,0.011,0.006,0.08,3.1
189,1.8155878961269232,0.5223197703749646,2.337907666501888,0.6880106348541193,2.172216802022734,0 days 00:00:49.758086000,0.0175,0.011,0.006,0.08,3.1
190,1.830683303889667,0.6099687876853956,2.4406520915750627,0.8784040772377258,2.172216802022734,0 days 00:00:49.417186000,0.02,0.011,0.006,0.08,3.1
191,N/A,N/A,N/A,N/A,2.172216802022734,0 days 00:00:49.827595000,0.0225,0.011,0.006,0.08,3.1
192,2.5270483506810684,0.0,2.5270483506810684,0.35483154865833416,2.172216802022734,0 days 00:00:49.588281000,0.015,0.012,0.004,0.05,3.1
193,2.6240092108355246,0.0,2.6240092108355246,0.4517924088127905,2.172216802022734,0 days 00:00:49.942592000,0.0175,0.012,0.004,0.05,3.1
194,2.7328402361811746,0.0,2.7328402361811746,0.5606234341584403,2.172216802022734,0 days 00:00:50.129821000,0.02,0.012,0.004,0.05,3.1
195,2.853690291652594,0.0,2.853690291652594,0.6814734896298595,2.172216802022734,0 days 00:00:52.027194000,0.0225,0.012,0.004,0.05,3.1
196,2.5487098763631746,0.0,2.5487098763631746,0.3764930743404402,2.172216802022734,0 days 00:00:49.614406000,0.015,0.012,0.004,0.06,3.1
197,2.6599040556949074,0.0,2.6599040556949074,0.48768725367217347,2.172216802022734,0 days 00:00:50.225811000,0.0175,0.012,0.004,0.06,3.1
198,2.785821262408497,0.0,2.785821262408497,0.6136044603857628,2.172216802022734,0 days 00:00:49.418368000,0.02,0.012,0.004,0.06,3.1
199,2.926647634211948,0.0,2.926647634211948,0.7544308321892135,2.172216802022734,0 days 00:00:48.753334000,0.0225,0.012,0.004,0.06,3.1
200,2.598314375225958,0.0,2.598314375225958,0.42609757320322394,2.172216802022734,0 days 00:00:50.226224000,0.015,0.012,0.004,0.075,3.1
201,2.7325419035826455,0.0,2.7325419035826455,0.5603251015599116,2.172216802022734,0 days 00:00:49.391616000,0.0175,0.012,0.004,0.075,3.1
202,2.885535571202278,0.0,2.885535571202278,0.7133187691795436,2.172216802022734,0 days 00:00:49.520407000,0.02,0.012,0.004,0.075,3.1
203,3.057534208069187,0.0,3.057534208069187,0.8853174060464529,2.172216802022734,0 days 00:00:52.103196000,0.0225,0.012,0.004,0.075,3.1
204,2.6170625992997456,0.0,2.6170625992997456,0.44484579727701146,2.172216802022734,0 days 00:00:50.507355000,0.015,0.012,0.004,0.08,3.1
205,2.758939029437503,0.0,2.758939029437503,0.5867222274147689,2.172216802022734,0 days 00:00:49.956230000,0.0175,0.012,0.004,0.08,3.1
206,2.9208307865340375,0.0,2.9208307865340375,0.7486139845113035,2.172216802022734,0 days 00:00:50.336788000,0.02,0.012,0.004,0.08,3.1
207,3.1024413828813033,0.0002734885184888587,3.102714871399792,0.9307715578955464,2.172216802022734,0 days 00:00:49.190644000,0.0225,0.012,0.004,0.08,3.1
